Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot,Communication Skills,Aptitude Skills,Technical Skills ,Projects,Java,C++,C,Python,Data Structure,Machine learning ,Data Science,Full stack,Networking,Cyber Security,AI,Robotics,IOT
21,Male,Information Technology,1,6,0,0,0,57,54,54,1,1,1,1,0,1,0,0,1,1,1,0,1,0
22,Male,Civil,0,7,0,0,1,64,68,65,2,1,1,0,1,0,1,1,0,1,1,1,1,1
22,Male,Computer Science,1,8,0,0,1,74,75,76,6,1,0,0,1,1,1,1,0,0,0,1,0,1
22,Male,Information Technology,1,6,0,0,0,74,24,30,5,0,1,1,0,1,1,0,1,0,1,0,1,1
22,Male,Electronics And Communication,0,8,0,1,1,40,20,40,4,1,0,0,0,1,0,1,0,1,1,0,1,0
22,Male,Electrical,1,6,0,1,0,60,26,27,8,0,0,1,0,0,1,0,0,0,1,1,0,0
22,Male,Civil,0,8,1,0,1,76,26,31,9,1,0,0,1,0,0,0,0,1,1,0,1,1
21,Male,Electrical,1,7,1,1,1,25,20,18,6,0,1,0,1,0,1,1,0,1,1,0,0,1
21,Male,Electrical,1,7,0,0,1,27,31,21,7,0,0,1,1,0,0,1,1,0,0,0,0,0
22,Female,Information Technology,2,8,0,0,1,24,21,28,8,0,0,0,1,1,0,1,1,1,1,1,0,0
21,Female,Electronics And Communication,3,6,0,0,1,28,29,31,9,1,0,0,1,1,0,1,1,1,0,1,0,0
22,Male,Computer Science,1,8,0,0,1,26,26,36,9,0,1,0,1,0,0,0,0,1,0,1,0,0
21,Male,Electronics And Communication,1,7,0,1,1,23,21,21,6,0,1,0,0,0,0,1,1,0,1,0,1,1
21,Male,Information Technology,2,7,0,0,1,25,21,21,11,1,1,1,1,1,0,0,1,1,0,1,1,1
21,Female,Electronics And Communication,0,7,0,0,0,26,25,17,6,1,1,0,1,1,1,0,1,0,1,0,0,0
22,Male,Electronics And Communication,0,8,0,0,1,31,26,14,5,1,0,1,0,1,1,0,0,1,0,0,0,1
21,Male,Electrical,1,8,0,0,1,32,23,14,7,1,1,1,1,1,0,0,1,1,1,0,0,1
21,Female,Computer Science,1,8,1,0,1,36,24,18,5,0,0,0,0,1,0,1,0,0,1,1,0,0
21,Male,Electrical,3,6,1,1,0,39,28,19,8,0,0,0,0,1,1,0,0,1,0,0,0,0
21,Female,Electronics And Communication,3,6,0,0,1,34,29,16,10,1,0,1,1,1,1,1,0,1,0,1,0,1
21,Male,Computer Science,1,7,0,0,1,37,32,17,7,0,1,0,1,1,1,0,0,1,0,0,0,1
21,Male,Electronics And Communication,0,8,0,0,1,32,31,14,4,1,1,0,0,0,1,1,0,0,1,1,1,0
21,Male,Civil,0,8,0,0,1,50,34,17,5,1,0,1,0,0,1,1,0,1,1,1,0,0
21,Male,Electronics And Communication,0,8,0,0,1,51,36,16,2,0,0,0,1,1,0,1,1,1,0,1,0,1
21,Female,Electrical,1,8,0,0,1,41,12,19,1,1,1,1,1,0,0,1,1,1,0,0,1,0
21,Male,Computer Science,2,9,0,1,1,12,21,18,5,0,1,0,0,0,1,0,0,1,1,0,0,1
22,Male,Computer Science,0,8,0,0,1,19,25,17,7,1,1,0,0,0,1,0,1,0,1,1,0,1
21,Male,Information Technology,0,8,0,0,1,31,27,35,9,1,0,0,1,0,1,1,1,1,1,1,0,0
21,Male,Information Technology,0,9,0,0,1,28,36,36,6,0,0,0,0,1,1,1,1,0,0,0,1,0
21,Male,Information Technology,1,8,1,0,1,24,35,32,7,0,1,0,0,1,0,1,0,0,0,0,0,0
22,Male,Mechanical,0,9,0,0,1,26,32,24,2,0,1,0,1,0,1,1,1,0,1,1,1,0
22,Male,Computer Science,1,9,0,0,1,28,31,35,4,1,1,1,0,1,0,1,1,0,1,1,1,1
21,Male,Information Technology,0,8,0,0,1,27,27,28,2,1,1,1,0,1,0,0,0,1,0,0,0,0
22,Male,Computer Science,2,9,0,0,1,29,26,27,5,0,0,0,1,1,1,1,1,0,0,1,1,0
21,Male,Mechanical,0,8,1,1,1,27,26,26,6,1,1,1,0,0,1,1,1,0,1,0,0,1
22,Male,Electrical,1,8,0,0,1,25,25,21,8,0,0,1,0,0,0,0,1,0,0,1,1,1
22,Male,Information Technology,0,9,0,0,1,21,21,25,2,1,0,0,0,0,1,1,0,1,0,1,1,1
22,Male,Computer Science,3,9,0,0,1,21,14,12,8,1,0,0,0,1,0,0,1,0,1,1,1,0
21,Male,Information Technology,0,8,0,0,1,24,14,21,6,1,0,0,0,0,1,0,0,0,1,0,0,0
22,Male,Information Technology,1,9,0,0,1,21,12,21,8,0,1,0,1,1,0,0,0,1,1,1,1,0
21,Male,Civil,0,8,0,0,1,23,17,23,6,1,1,0,0,1,0,1,0,1,0,0,1,0
21,Male,Mechanical,0,9,1,0,1,25,16,10,8,0,1,1,1,0,1,1,1,0,0,0,0,0
22,Male,Mechanical,0,8,1,1,1,20,15,14,5,0,0,0,0,0,1,0,1,0,1,0,0,1
22,Male,Information Technology,0,8,0,0,1,21,14,11,6,1,0,0,0,0,1,1,1,0,1,1,0,0
21,Male,Computer Science,1,8,0,0,1,24,13,12,9,1,0,1,1,1,1,1,1,0,1,0,0,0
21,Male,Civil,0,9,0,0,1,26,12,13,5,1,1,1,1,0,0,0,0,1,1,0,1,1
21,Male,Computer Science,1,9,0,0,1,25,11,14,8,1,0,1,1,1,1,1,1,0,1,1,0,0
22,Male,Mechanical,0,8,1,0,1,24,9,15,6,1,1,0,1,0,0,0,1,0,1,0,1,0
21,Male,Information Technology,0,8,0,0,1,24,8,16,8,1,0,0,1,1,0,1,1,1,1,0,0,1
21,Male,Mechanical,0,8,1,0,1,21,7,11,7,0,0,0,1,1,0,0,0,0,1,1,1,0
21,Male,Electronics And Communication,2,7,0,0,1,23,9,10,9,0,1,0,1,1,0,0,0,0,1,0,0,1
21,Male,Computer Science,0,8,0,0,1,20,19,9,4,0,1,0,0,1,1,1,0,1,1,1,0,0
21,Male,Computer Science,0,6,0,0,0,10,17,8,8,0,0,0,1,1,1,0,0,1,0,1,0,1
22,Female,Civil,1,6,1,0,0,20,14,7,1,1,0,1,0,1,0,1,0,0,1,1,1,1
22,Male,Mechanical,1,7,0,0,0,10,16,6,2,0,1,1,1,0,0,1,1,0,1,1,0,1
21,Male,Civil,1,8,0,1,1,20,12,5,6,1,1,1,1,1,0,0,1,1,0,1,1,0
22,Male,Information Technology,1,6,0,0,1,21,14,4,5,1,0,1,1,0,0,0,1,0,1,1,0,1
21,Male,Electrical,1,6,0,0,1,24,15,2,4,1,0,1,1,1,0,1,0,1,1,0,1,0
22,Female,Information Technology,2,7,0,0,0,22,12,1,8,0,1,1,0,1,0,1,0,0,0,1,0,0
22,Male,Electronics And Communication,0,6,0,0,0,21,14,5,9,1,1,0,1,1,0,0,1,1,0,0,0,0
22,Male,Computer Science,1,8,0,0,1,16,19,6,6,0,0,1,0,0,1,0,0,0,1,0,0,0
21,Male,Computer Science,2,7,0,0,0,15,17,4,7,0,1,0,1,0,0,1,0,1,1,0,1,1
22,Male,Information Technology,0,8,0,0,1,11,14,8,8,0,1,0,1,1,0,0,0,0,1,1,1,0
22,Female,Information Technology,0,7,0,0,0,24,32,31,9,1,0,0,0,0,1,0,0,1,1,1,1,1
21,Male,Mechanical,0,7,0,0,0,26,31,32,9,1,0,0,0,1,0,1,1,0,0,1,1,0
23,Male,Computer Science,0,7,0,0,1,25,32,24,6,1,1,0,1,1,0,1,0,1,1,0,0,0
23,Male,Civil,0,6,0,0,1,24,34,25,11,1,1,0,1,1,1,1,1,1,1,0,1,1
23,Male,Mechanical,1,5,0,0,0,29,39,29,6,1,1,0,0,1,0,0,1,1,1,0,1,1
24,Male,Information Technology,2,6,0,0,1,28,36,26,5,0,1,1,1,1,0,0,1,1,1,1,1,0
23,Male,Electrical,0,5,1,0,0,27,35,27,7,1,0,0,0,0,1,0,1,1,0,1,1,1
23,Male,Information Technology,1,6,0,0,0,24,30,31,5,0,1,0,1,0,0,1,0,0,1,1,1,1
24,Female,Information Technology,0,6,0,0,1,26,47,25,8,0,0,0,0,1,1,1,0,0,1,1,0,0
24,Male,Information Technology,1,7,0,0,1,25,42,24,10,1,0,0,0,1,1,1,1,0,0,0,1,1
24,Male,Civil,1,7,0,1,1,25,41,22,7,1,1,1,0,0,1,1,0,1,1,1,0,1
23,Male,Information Technology,1,7,0,0,1,21,45,20,4,0,0,0,0,0,0,1,1,0,1,0,0,0
23,Male,Information Technology,1,6,0,0,1,24,52,66,5,0,0,0,1,1,0,1,1,1,0,1,0,1
24,Male,Electronics And Communication,1,6,0,1,1,54,54,65,2,1,0,0,1,0,1,1,1,1,1,0,0,1
24,Male,Electrical,0,7,0,0,0,53,58,62,1,0,0,1,1,1,1,1,0,0,1,0,0,1
23,Male,Information Technology,1,6,0,0,0,50,59,78,5,1,1,0,0,1,1,0,1,0,0,1,1,1
24,Male,Computer Science,0,6,0,0,1,52,59,74,7,0,0,0,1,0,1,1,0,0,1,0,1,0
23,Male,Electrical,0,6,0,0,0,51,53,70,9,0,0,1,0,1,1,0,0,1,1,0,0,1
23,Male,Information Technology,1,7,1,0,1,56,54,64,6,0,0,0,1,0,1,0,0,1,1,0,1,0
23,Male,Information Technology,1,7,1,0,1,54,57,61,7,1,0,1,0,0,1,1,1,1,1,0,0,1
24,Male,Information Technology,3,5,0,1,1,59,59,68,2,0,0,0,0,1,1,0,0,1,0,1,0,0
23,Male,Mechanical,0,6,1,0,1,58,58,62,4,1,1,1,1,0,1,1,1,1,1,1,0,0
23,Female,Information Technology,2,6,0,0,1,54,52,68,2,0,0,0,1,1,0,0,1,0,1,1,0,0
23,Male,Electronics And Communication,1,7,0,0,0,55,65,62,5,1,1,0,1,0,1,0,0,0,1,0,0,0
23,Male,Information Technology,1,5,0,0,1,52,64,61,6,0,0,1,0,1,0,1,0,0,1,0,1,1
23,Male,Information Technology,1,7,0,0,1,76,90,90,8,1,0,0,1,0,1,1,1,0,0,1,0,1
23,Male,Mechanical,2,7,1,0,1,25,85,80,2,1,0,1,0,1,0,0,1,1,0,0,0,1
24,Male,Information Technology,1,5,0,0,0,27,75,80,8,0,0,0,0,1,0,1,1,0,0,1,0,1
24,Male,Information Technology,1,7,0,0,0,24,79,80,6,1,1,0,1,0,0,1,0,0,0,0,1,1
24,Male,Computer Science,2,7,0,0,1,28,65,70,8,0,1,0,0,1,1,0,1,0,0,0,1,1
24,Male,Electronics And Communication,0,5,0,0,0,26,75,74,6,0,0,0,0,1,0,1,1,1,1,0,1,0
24,Male,Information Technology,1,7,0,0,1,23,91,85,8,0,0,0,0,0,0,1,1,0,0,1,1,1
23,Male,Mechanical,0,6,1,1,1,25,82,69,5,1,1,1,0,1,0,1,0,1,1,1,1,1
23,Male,Computer Science,0,6,0,0,0,26,97,91,6,0,1,0,1,0,1,1,1,1,0,0,0,0
23,Female,Mechanical,1,7,1,0,0,31,89,65,9,0,0,1,1,1,1,1,1,1,0,1,1,1
24,Male,Computer Science,1,6,0,0,1,32,90,80,5,1,0,1,1,0,0,1,0,1,0,1,1,1
23,Male,Mechanical,1,6,1,1,1,36,72,72,8,1,0,0,1,1,0,1,1,0,1,1,0,1
24,Male,Computer Science,0,6,0,0,1,39,70,65,6,1,1,0,0,0,0,1,1,1,1,0,1,0
24,Male,Mechanical,0,6,0,0,1,34,74,60,8,0,0,0,1,0,1,0,0,1,1,0,1,0
24,Male,Information Technology,0,5,0,0,1,37,70,60,7,1,0,1,0,1,0,0,1,1,1,1,0,1
23,Male,Electrical,0,5,0,0,0,32,70,65,9,1,0,0,1,1,0,0,0,1,1,0,1,1
24,Male,Electrical,0,5,1,0,0,50,70,70,4,0,1,0,0,0,0,0,1,1,0,0,1,1
23,Male,Computer Science,1,5,0,0,1,51,60,65,8,0,1,1,0,1,0,0,0,0,1,0,1,0
23,Male,Electronics And Communication,0,7,0,0,1,41,40,60,1,0,1,0,1,1,0,1,1,0,0,0,0,1
24,Male,Information Technology,3,7,0,0,1,12,55,45,2,0,0,0,1,1,1,1,1,1,1,1,0,1
24,Male,Computer Science,2,5,0,0,1,19,80,87,6,0,0,0,0,1,0,0,1,1,0,1,0,0
24,Male,Computer Science,2,5,0,0,1,31,82,80,5,1,0,1,1,1,1,0,1,0,1,1,0,0
23,Male,Civil,0,7,1,0,1,28,78,82,4,0,1,1,0,0,0,0,0,0,1,0,1,1
24,Male,Information Technology,1,6,0,0,1,24,80,78,8,0,1,1,1,0,1,0,0,1,1,1,0,0
23,Male,Mechanical,0,5,1,1,0,26,39,47,9,0,1,1,0,0,0,1,0,0,0,1,0,0
23,Male,Electrical,0,6,0,0,0,28,64,62,6,1,0,1,1,0,1,0,0,0,1,1,1,0
24,Male,Computer Science,1,7,0,0,1,27,42,46,7,1,1,0,0,1,1,0,0,1,1,1,0,0
23,Male,Electrical,0,5,0,0,0,29,64,62,8,0,0,1,0,1,0,1,1,1,0,1,0,0
24,Female,Information Technology,0,5,0,0,0,27,54,52,9,0,0,0,0,0,1,1,1,0,1,1,0,0
23,Male,Computer Science,1,5,0,0,1,25,56,54,9,1,1,0,1,0,1,0,0,0,1,0,0,0
23,Female,Electronics And Communication,2,6,0,0,0,21,80,74,6,0,0,0,1,0,1,0,0,1,1,0,0,1
24,Male,Civil,0,7,0,0,1,21,78,79,11,0,0,1,0,0,1,0,1,0,1,0,1,1
24,Male,Electronics And Communication,2,6,0,0,1,24,54,54,6,1,0,1,1,1,0,0,1,1,1,1,1,1
23,Male,Information Technology,0,5,0,0,0,21,68,65,5,1,1,0,0,1,1,1,0,0,1,1,0,1
24,Male,Computer Science,2,6,0,0,1,23,75,76,7,0,1,0,1,0,0,1,1,1,0,1,1,1
23,Male,Computer Science,1,6,0,0,0,25,24,30,5,0,1,1,0,0,1,1,1,0,0,0,0,0
24,Male,Computer Science,0,7,0,1,1,20,20,40,8,0,0,1,0,1,0,1,0,0,0,0,0,1
22,Male,Electronics And Communication,0,7,0,0,1,21,26,27,10,0,0,1,0,0,0,0,0,1,0,0,1,1
22,Male,Mechanical,0,5,1,0,0,24,26,31,7,1,0,0,1,1,0,0,1,1,0,1,0,1
22,Male,Computer Science,1,5,0,0,0,26,20,18,4,1,0,0,0,0,0,0,1,1,0,0,0,1
21,Male,Computer Science,1,6,0,0,1,25,31,21,5,0,0,1,0,0,0,1,0,1,1,1,0,0
21,Male,Civil,3,6,1,0,1,24,21,28,2,0,0,1,1,1,0,1,1,0,1,0,1,1
21,Male,Computer Science,0,6,0,1,1,24,29,31,1,0,1,0,0,0,1,0,1,1,1,0,0,0
21,Male,Electrical,0,5,0,0,0,21,26,36,5,0,0,0,0,0,1,0,1,0,1,0,1,1
21,Female,Information Technology,1,6,0,0,0,23,21,21,7,0,1,1,1,1,0,0,1,0,0,0,0,0
22,Male,Computer Science,1,5,0,0,0,20,21,21,9,1,0,1,0,1,1,0,0,1,1,0,0,1
22,Male,Computer Science,1,5,0,0,0,10,25,17,6,0,1,1,0,0,1,1,1,0,0,0,1,1
21,Male,Civil,1,6,0,0,1,20,26,14,7,0,0,1,0,0,0,1,1,1,0,1,1,0
21,Female,Information Technology,2,5,0,0,0,10,23,14,2,1,1,1,1,1,1,1,1,0,1,0,1,0
21,Male,Information Technology,1,6,0,0,1,20,24,18,4,0,0,1,1,0,1,1,1,0,0,1,1,1
22,Male,Civil,0,6,0,0,0,21,28,19,2,1,0,0,1,0,1,0,1,0,0,0,1,1
22,Male,Civil,0,7,0,1,0,24,29,16,5,1,1,1,1,1,1,1,1,0,0,1,1,1
21,Male,Information Technology,0,7,0,0,1,22,32,17,6,1,0,1,1,1,0,0,0,0,1,0,0,0
21,Male,Electronics And Communication,0,7,0,0,1,21,31,14,8,1,0,1,0,1,0,1,1,1,0,1,1,1
22,Female,Information Technology,1,7,1,0,0,16,34,17,2,0,1,0,1,1,0,0,0,0,1,0,1,0
22,Male,Electrical,1,6,0,0,1,15,36,16,8,0,1,1,1,1,0,0,0,0,0,0,0,1
21,Female,Mechanical,1,5,1,0,0,11,12,19,6,0,0,1,0,1,1,1,0,1,0,0,0,1
22,Female,Information Technology,1,6,1,0,0,24,21,18,8,1,0,1,0,1,1,0,1,1,1,0,0,1
22,Male,Computer Science,2,6,0,0,1,26,25,17,6,0,0,0,0,1,1,1,0,1,1,1,0,0
21,Male,Electronics And Communication,1,6,0,1,0,25,27,35,8,0,1,1,0,0,0,0,0,1,0,1,1,0
22,Male,Civil,0,5,0,0,0,24,36,36,5,1,0,0,1,0,0,1,0,1,1,0,1,1
21,Male,Electrical,2,5,0,1,0,29,35,32,6,0,0,0,0,0,1,0,1,0,1,0,1,0
22,Male,Civil,1,7,0,0,0,28,32,24,9,0,0,1,1,0,1,1,1,0,1,1,1,0
21,Female,Computer Science,1,7,1,0,0,27,31,35,5,0,1,0,1,1,1,0,0,1,0,0,0,1
21,Male,Computer Science,1,6,0,0,0,24,27,28,8,1,1,0,1,0,1,1,1,1,1,1,1,1
22,Female,Electronics And Communication,1,5,1,0,0,26,26,27,6,1,1,0,1,1,0,1,0,0,1,1,1,1
21,Female,Information Technology,0,6,0,0,0,25,26,26,8,1,1,1,1,1,0,0,0,1,1,1,0,1
22,Male,Computer Science,0,5,0,0,0,25,25,21,7,1,0,1,1,1,1,0,1,1,0,0,1,1
22,Male,Computer Science,0,5,0,0,0,21,21,25,9,0,1,1,1,0,1,1,0,0,1,1,1,0
21,Male,Mechanical,0,7,1,0,0,24,14,12,4,0,0,0,0,1,1,1,0,0,0,1,1,0
21,Male,Computer Science,0,5,0,0,0,54,14,21,8,0,0,0,1,0,0,1,0,0,0,0,1,1
21,Male,Information Technology,0,5,0,1,0,53,12,21,1,0,0,0,0,0,1,1,0,0,1,1,1,1
22,Female,Computer Science,1,5,1,0,0,50,17,23,2,1,0,0,0,1,0,0,0,0,0,1,0,1
21,Male,Electronics And Communication,2,6,1,1,0,52,16,10,6,0,1,0,0,0,1,1,1,0,1,0,1,1
21,Male,Information Technology,1,5,1,1,0,51,15,14,5,0,1,1,0,0,0,0,1,1,1,1,1,0
22,Female,Computer Science,2,7,1,0,0,56,14,11,4,1,0,0,1,0,1,1,0,1,1,0,0,1
21,Male,Computer Science,0,8,0,0,1,54,13,12,8,1,1,0,0,1,1,0,0,1,0,0,0,0
21,Male,Computer Science,2,7,0,0,1,59,12,13,9,0,0,1,0,1,1,0,1,1,0,0,1,0
22,Male,Computer Science,1,6,0,0,0,58,11,14,6,0,0,0,1,1,0,1,0,0,1,0,0,0
21,Female,Information Technology,2,6,1,0,1,54,9,15,7,1,0,0,1,1,1,1,1,1,0,0,0,1
21,Male,Electronics And Communication,1,7,0,0,0,55,8,16,8,1,0,0,0,1,1,1,1,1,0,0,1,0
21,Female,Computer Science,1,7,1,0,0,52,7,11,9,0,0,0,0,1,1,0,1,1,0,0,0,1
21,Male,Mechanical,0,8,1,0,1,76,9,10,9,0,1,0,1,0,1,1,1,0,1,1,1,1
22,Male,Mechanical,0,8,1,0,1,25,19,9,6,1,1,1,0,0,0,0,0,1,1,1,1,1
22,Male,Information Technology,1,6,0,0,0,27,17,8,11,1,0,0,1,0,1,1,0,0,1,1,1,0
21,Female,Electrical,0,7,0,0,0,24,14,7,6,1,1,1,0,1,0,0,0,1,0,0,0,1
21,Male,Mechanical,0,8,0,0,1,28,16,6,5,0,0,1,1,1,1,0,0,0,0,1,1,0
21,Male,Computer Science,2,8,0,0,1,26,12,5,7,1,0,0,1,1,1,1,0,0,0,1,0,1
21,Male,Information Technology,1,7,0,0,0,23,14,4,5,0,0,0,0,0,0,0,1,0,0,1,1,1
22,Male,Information Technology,0,6,0,1,0,25,15,2,8,0,0,0,1,0,1,1,1,1,1,0,0,0
22,Male,Information Technology,1,8,0,0,1,26,12,1,10,0,1,0,1,0,1,0,0,1,1,1,0,1
21,Male,Electrical,1,7,0,0,1,31,14,5,7,1,1,1,0,0,0,0,1,1,0,1,1,0
21,Female,Civil,1,6,0,0,0,32,19,6,4,0,1,0,1,0,0,1,0,1,0,1,0,1
21,Male,Computer Science,3,6,0,0,1,36,17,4,5,0,1,0,1,1,0,1,0,1,1,0,1,0
21,Male,Civil,1,7,1,0,0,39,14,8,2,0,1,1,1,1,0,0,0,0,0,1,1,1
22,Male,Electrical,1,7,0,0,0,34,32,31,1,1,1,0,0,0,1,0,0,0,1,0,0,1
21,Male,Electronics And Communication,2,6,1,1,0,37,31,32,5,1,1,1,1,0,1,1,0,1,0,1,1,0
22,Male,Electrical,1,8,0,1,1,32,32,24,7,1,1,1,0,1,1,1,1,0,0,1,1,0
22,Male,Computer Science,2,8,0,0,1,50,34,25,9,0,1,1,1,0,1,1,1,1,0,1,1,1
21,Male,Mechanical,1,6,1,1,0,51,39,29,6,0,0,0,1,1,1,1,1,0,1,0,1,0
22,Male,Computer Science,0,7,0,0,0,41,36,26,7,1,0,1,1,1,1,1,1,1,0,0,0,1
22,Male,Civil,0,6,0,0,0,12,35,27,2,0,0,0,0,1,0,0,1,1,0,0,1,0
21,Male,Civil,0,6,1,0,0,19,30,31,4,1,1,0,1,0,0,1,1,1,1,0,0,0
21,Female,Computer Science,1,7,1,0,0,31,47,25,2,1,1,1,0,0,1,0,0,0,1,1,0,1
21,Male,Computer Science,2,7,0,0,1,28,42,24,5,1,1,1,1,0,1,1,1,0,1,0,1,1
21,Female,Mechanical,1,6,1,0,0,24,41,22,6,1,1,0,1,1,0,1,1,0,1,0,1,0
22,Male,Mechanical,0,6,1,0,0,26,45,20,8,1,0,1,0,1,1,0,1,0,1,1,0,1
22,Male,Electronics And Communication,1,8,0,0,1,28,52,66,2,0,1,0,1,0,1,1,1,1,1,1,0,0
22,Male,Computer Science,1,8,0,0,1,27,54,65,8,1,1,0,1,0,1,1,1,1,0,0,1,1
21,Female,Information Technology,0,8,0,0,1,29,58,62,6,0,0,0,1,0,1,0,1,1,1,0,1,1
22,Male,Information Technology,1,7,0,0,0,27,59,78,8,1,0,1,0,0,1,1,1,0,0,0,1,1
21,Male,Information Technology,0,8,0,1,1,25,59,74,6,0,0,1,1,0,1,0,1,1,1,1,1,1
22,Male,Computer Science,1,8,0,0,1,21,53,70,8,1,0,1,0,1,1,0,0,1,1,1,1,0
22,Male,Computer Science,1,7,0,0,0,21,54,64,5,0,0,0,0,0,1,0,1,1,1,1,0,1
21,Female,Information Technology,2,7,0,0,1,24,57,61,6,1,0,0,1,1,1,0,1,0,0,0,0,0
21,Female,Mechanical,1,8,1,0,1,21,59,68,9,1,0,1,0,0,1,0,0,0,1,0,0,1
21,Female,Computer Science,1,6,1,0,0,23,58,62,5,1,1,0,0,0,1,1,1,1,0,1,1,1
22,Female,Information Technology,1,7,0,0,0,25,52,68,8,1,1,1,0,1,1,0,1,1,0,1,1,1
22,Female,Computer Science,0,6,1,0,0,20,65,62,6,0,0,0,0,0,1,1,1,1,0,0,1,1
21,Male,Information Technology,2,8,1,0,1,21,64,61,8,0,1,1,1,0,0,0,1,1,1,0,1,1
22,Male,Civil,0,7,1,1,0,24,90,90,7,1,1,1,0,1,1,0,1,0,0,1,1,1
21,Male,Electrical,1,6,0,0,0,26,85,80,9,0,1,0,1,1,1,1,1,0,1,0,0,1
21,Male,Electronics And Communication,2,6,0,0,1,25,75,80,4,1,0,0,0,0,1,1,1,0,0,1,1,0
21,Male,Mechanical,1,7,1,0,0,24,79,80,8,1,0,0,1,1,1,1,1,0,1,1,0,0
22,Male,Civil,0,7,0,0,0,24,65,70,1,0,1,0,1,0,0,0,0,1,1,0,1,0
22,Female,Electrical,1,6,0,0,0,21,75,74,2,1,0,1,0,1,1,0,0,0,0,0,1,1
